year,the United States,United Kingdom,India,China,Australia,Germany,France,Japan,Italy,Russia,Canada,Others
2000,9,11.0,3.0,0.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,17.0
2001,4,10.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,5.0,6.0
2002,4,4.0,1.0,2.0,1.0,1.0,2.0,5.0,0.0,3.0,1.0,2.0
2003,4,7.0,2.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,6.0
2004,9,10.0,4.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,2.0,9.0
2005,9,13.0,4.0,4.0,4.0,2.0,8.0,4.0,1.0,0.0,4.0,1.0
2006,7,7.0,2.0,5.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,4.0
2007,4,18.0,5.0,2.0,2.0,0.0,2.0,1.0,2.0,7.0,6.0,7.0
2008,27,9.0,10.0,8.0,0.0,2.0,2.0,3.0,0.0,4.0,0.0,11.0
2009,10,22.0,7.0,2.0,8.0,3.0,0.0,8.0,0.0,1.0,6.0,11.0
2010,47,18.0,9.0,9.0,7.0,0.0,4.0,18.0,5.0,3.0,5.0,5.0
2011,24,30.0,5.0,4.0,7.0,11.0,13.0,18.0,2.0,2.0,3.0,11.0
2012,2,49.0,18.0,8.0,2.0,1.0,8.0,10.0,2.0,11.0,0.0,9.0
2013,34,40.0,1.0,18.0,12.0,9.0,4.0,15.0,9.0,4.0,4.0,6.0
2014,3,36.0,15.0,2.0,6.0,6.0,5.0,12.0,3.0,7.0,11.0,28.0
2015,13,68.0,28.0,21.0,18.0,9.0,1.0,16.0,2.0,17.0,3.0,52.0
2016,23,69.0,17.0,8.0,6.0,11.0,1.0,2.0,19.0,11.0,4.0,33.0
2017,17,63.0,17.0,15.0,13.0,12.0,11.0,20.0,4.0,10.0,1.0,1.0
2018,39,85.0,67.0,24.0,24.0,6.0,15.0,12.0,5.0,9.0,5.0,33.0
2019,14,57.0,42.0,2.0,26.0,10.0,9.0,6.0,11.0,4.0,5.0,22.0
2020,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0
2021,149,97.0,35.0,21.0,8.0,17.0,8.0,18.0,15.0,14.0,0.0,110.0
2022,113,69.0,70.0,4.0,15.0,30.0,10.0,47.0,33.0,11.0,4.0,22.0
2023,13,22.0,6.0,5.0,6.0,0.0,6.0,9.0,2.0,3.0,10.0,4.0
