year,the United States,United Kingdom,India,China,Australia,Germany,France,Japan,Italy,Russia,Canada,Others
2000,20,12.0,1.0,2.0,7.0,1.0,5.0,1.0,2.0,0.0,8.0,30.0
2001,24,11.0,2.0,1.0,3.0,5.0,2.0,1.0,1.0,2.0,6.0,39.0
2002,18,4.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,31.0
2003,19,10.0,2.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,2.0,41.0
2004,29,12.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,3.0,35.0
2005,45,17.0,2.0,4.0,9.0,4.0,1.0,4.0,1.0,2.0,0.0,48.0
2006,37,7.0,6.0,3.0,3.0,5.0,5.0,2.0,2.0,1.0,5.0,56.0
2007,38,22.0,1.0,7.0,5.0,5.0,3.0,3.0,1.0,1.0,9.0,51.0
2008,53,12.0,3.0,5.0,6.0,2.0,6.0,3.0,2.0,5.0,7.0,71.0
2009,49,24.0,3.0,4.0,5.0,5.0,5.0,2.0,1.0,3.0,8.0,72.0
2010,128,31.0,8.0,11.0,14.0,12.0,10.0,4.0,5.0,7.0,6.0,157.0
2011,105,35.0,9.0,13.0,10.0,5.0,5.0,5.0,6.0,6.0,9.0,181.0
2012,108,57.0,6.0,17.0,17.0,10.0,20.0,4.0,11.0,3.0,13.0,180.0
2013,143,47.0,10.0,12.0,15.0,4.0,10.0,6.0,10.0,10.0,17.0,198.0
2014,117,46.0,7.0,21.0,15.0,12.0,7.0,10.0,12.0,17.0,10.0,229.0
2015,196,82.0,22.0,33.0,26.0,16.0,33.0,12.0,15.0,11.0,26.0,388.0
2016,188,78.0,11.0,37.0,25.0,12.0,18.0,14.0,8.0,26.0,24.0,383.0
2017,225,76.0,19.0,42.0,18.0,13.0,33.0,9.0,18.0,11.0,15.0,358.0
2018,268,102.0,10.0,87.0,29.0,21.0,36.0,17.0,18.0,27.0,32.0,570.0
2019,230,82.0,7.0,58.0,27.0,25.0,33.0,27.0,13.0,10.0,24.0,405.0
2020,12,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,31.0
2021,300,127.0,28.0,28.0,48.0,20.0,33.0,16.0,27.0,7.0,31.0,510.0
2022,448,114.0,30.0,86.0,48.0,35.0,57.0,24.0,41.0,13.0,41.0,881.0
2023,80,32.0,4.0,4.0,7.0,7.0,16.0,2.0,13.0,0.0,6.0,158.0
